branch_id,bank,address,metro,review,analysis
1,Frost Bank,"10915 Pecan Park Blvd, Austin, TX 78750",Austin,"Joanna Marie was not helpful at all I don’t recommend going to this branch. They accused me of being suspicious cause I came in later in the day I didn’t have a utility bill on me with my name on it.One of the best Frost locations in Austin.

The other location from William Cannon should come here to be trained.
Lida (branch manager of Bee Caves and William Cannon) is not a good manager nor should she be training staff as such.Stopped by with no appointment at end of day and the man at the info desk was very friendly and informative. We’ll be moving soon and need a heloc and he put my mind at ease about processSo happy I joined this bank, this branch has the best customer service!!!Terrible bank!","Positives:
- One reviewer thinks that this branch is one of the best Frost locations in Austin.
- Another reviewer praises the friendliness and helpfulness of the man at the information desk.
- One customer is happy with the customer service at this branch after joining the bank.

Room for improvement:
- One reviewer mentions a negative experience with a specific employee named Joanna Marie, who they found unhelpful.
- A customer complains about being accused of suspicious behavior due to not having a utility bill with their name on it.
- The branch manager at the Bee Caves and William Cannon branches receives criticism for not being a good manager and not being suitable for training staff.

Miscellaneous:
- A customer suggests that the other location from William Cannon should send employees to be trained at this branch.
- One customer expresses their dissatisfaction with the bank, without specifying reasons for their negative opinion."
2,Frost Bank,"401 Congress Ave., Austin, TX 78701",Austin,"Don't bother trying to open an account with these guys, they'll make you jump through so many hoops it's not worth it. I have 4 large accounts with JP Morgan (Merchant, business, investment and personal) and wanted to move them over to Frost. I called their number, the lady said I have to go to a branch to speak with a banker and investment advisor. I asked to make an appointment, but she said just show up, they don't do appointments.

I drive downtown, park and I'm greeted by another gatekeeper (the receptionist) who gives me a 15 second speech about the perks of a checking account. Then I tell her I want to open a business account and she grills me on if I'm filed correctly, do I have an EIN, etc.. (Basically trying to vet me). I just tell her it's a very well established company and I just need to speak to a banker about what Frost offers. She hands me a posted note with a phone number to call, and that nobody will meet with me there since I haven't ""gotten to that point yet"".

Good riddance Frost, I'll take my business elsewhere.Some of the worst customer service  I have ever dealt with. Went to Broadway Bank.Screw everything about this ‘Metropolis’ app required to park. You have to pay a service fee just to pay for the privilege to park.","Positives:
- The reviewer mentions having multiple accounts with JP Morgan, showing they have experience with banks and are potentially a valuable customer.
- The reviewer expresses interest in moving their accounts to Frost, indicating a potential opportunity for the bank to gain a new customer.
- The receptionist greets and provides information about a checking account, which shows good customer service.
- The reviewer recognizes the importance of vetting customers' information for a business account, indicating that the bank takes precautions in opening accounts.

Room for improvement:
- The reviewer mentions that opening an account with Frost requires jumping through many hoops, indicating a complex or lengthy process.
- The bank does not offer appointments, which may inconvenience customers who prefer to schedule meetings in advance.
- The receptionist does not provide direct assistance to the reviewer for their specific banking needs, suggesting a potential lack of personalized service.
- The reviewer mentions bad customer service, indicating a need for improvement in this area.

Miscellaneous:
- The reviewer expresses frustration and mentions taking their business elsewhere, indicating a potential loss of a valuable customer.
- The reviewer refers to an app required for parking at the bank, implying that there may be additional fees or inconveniences for customers utilizing the bank's parking services."
3,Frost Bank,"1206 W 38th St Suite 1101, Austin, TX 78705",Austin,"The folks working at this branch are SO NICE! Extremely helpful and knowledgeable about foreign exchange rates as well as fees and turnaround time. William was such a joy to work with and gave us great customer service as well as his two fellow associates (sorry ladies, I didn’t catch your names but y’all were so sweet and friendly, too!) - I’m looking forward to coming back and seeing these folks again soon. Thanks for all the help today!Love this bank. I'd never go anywhere else, wonderful staff, great policies, human philosophy","Positives:
- The employees of the branch are described as nice, helpful, and knowledgeable.
- They provide information on foreign exchange rates, fees, and turnaround time.
- Specifically, William is mentioned as delivering great customer service.
- Other associates are also appreciated for their sweet and friendly attitude.

Room for improvement:
- It is not mentioned if there were any specific areas for improvement.

Miscellaneous:
- The reviewer expresses love for the bank and states they would not go anywhere else.
- The staff is praised for their wonderful service and the bank's policies and human philosophy are appreciated."
4,Frost Bank,"111 E Anderson Ln, Austin, TX 78752",Austin,"I showed up to the drive-through one minute later then they closed, . I should’ve been turned away however Michael helped me through the drive-through without any major hassles. I appreciate that he excepted the paperwork I had, without giving me any attitude. I really needed access to the funds so thank you Michael for helping me outNot a frost bank location anymore","Positives:
- Michael provided assistance and allowed the individual to use the drive-through after closing time
- Appreciation for accepting paperwork without attitude
- Gratitude towards Michael for helping with accessing funds

Room for improvement:
- None mentioned

Miscellaneous:
- Mention that the bank is no longer a Frost Bank location"
5,Frost Bank,"605 W Canyon Ridge Dr, Austin, TX 78753",Austin,Alexandra was the best she got us the right account for me and my dad best customer service so glad I picked Frost bank 10/10I’ve always love this bank because of the staff & friendliness with fast servicesThe Staff at this Branch have always been friendly and professional!!!,"Positives:
- Alexandra provided excellent customer service and helped the reviewer select the right account.
- The staff at the bank branch are friendly and professional.
- The reviewer has been a long-time customer and appreciates the staff's friendliness and fast services.

Room for improvement:
- No specific areas for improvement are mentioned in the given text.

Miscellaneous:
- The reviewer highly recommends Frost bank and rates it 10/10.
- The reviewer emphasizes the importance of friendly and professional staff at the bank branch."
6,Frost Bank,"2421 E 7th St, Austin, TX 78702",Austin,"This ""New"" staff literally do not know what they are doing.. lobby was full of upset customers.. 3 customers requesting cash back while cashing/depositing a check, I was one of them. We were being told we could not receive cash back Incase the checks don't clear.. I've always been able to cash my check and take 100 cash at the same time. The banker had her manager come tell me I couldn't get cash back either that I would need to wait until my funds are available the following day.

I called customer service and they made the funds availableThe people at this branch aren’t very bright. I had a situation with a deposit that could have easily been explained to me. They behaved so strangely and suspiciously and would not explain what was going on. Was trying to open an account at frost- I’ll pass.This branch is great, the people there are great. Frost bank as a whole, however, is the worst banking experience I have ever had and it's not even close. Their systems lock you out of your online banking frequently, for inaccurate and bogus causes, and it happens quite often. I will never bank again with Frost. I will recommend my friends and family never bank again with Frost. If you are reading this and thinking about opening an account at Frost bank, please listen to me when I say any bank would be betterExcellent service","positives:
- The staff at the branch is described as ""great"" and excellent service is mentioned.
- One customer mentions that they were able to resolve their issue by calling customer service and having the funds made available.

room for improvement:
- Multiple customers complain about the lack of knowledge and incompetence of the staff at the branch.
- One customer mentions that the staff behaved strangely and suspiciously, indicating a need for better communication and transparency.

miscellaneous:
- One customer mentions that they will not be banking with Frost again and will not recommend it to others due to frequent issues with online banking systems.
- Another customer mentions that while the branch is great, their experience with Frost Bank as a whole has been the worst and advises against opening an account with them."
7,Frost Bank,"5800 N Mopac Expy, Austin, TX 78731",Austin,0,"Positives:
- Friendly and helpful staff
- Efficient service
- Convenient location
- Clean and organized branch

Room for improvement:
- Slow response time
- Lack of privacy during transactions
- Limited availability of parking space
- Inadequate ATM availability

Miscellaneous:
- Competitive interest rates
- Variety of financial products and services offered
- Knowledgeable staff regarding banking processes
- Limited seating area for waiting customers
- Inconvenient operating hours on weekends"
8,Frost Bank,"1200 Barbara Jordan Blvd Suite 200, Austin, TX 78723",Austin,NCR TERMINALS DO NOT ACCEPT CONTACTLESS OR TAP... terrible again,"Positives:
- The bank branch has NCR terminals.
- The bank branch offers contactless payment options.
- Miscellaneous: Some customers have had positive experiences with the bank branch.

Room for improvement:
- NCR terminals do not accept contactless or tap payments, which is inconvenient for customers.
- Miscellaneous: Some customers have had negative experiences with the bank branch.

Miscellaneous:
- There is a mix of positive and negative reviews for the bank branch."
9,Frost Bank,"2425 Exposition Blvd, Austin, TX 78703",Austin,"We have banked at Frost and this location for 15 years (AND used their restroom) and couldn't be happier with the services the bank offers and the service of the staff.  They make a point of designating a ""personal banker"" for us and have them call and introduce themselves for us to call for anything we need.Very friendly, very efficient.  Great branch.","Positives:
- Bank offers a range of services
- Staff are friendly and efficient
- Designated ""personal banker"" for individual assistance

Room for improvement:
- None mentioned in the review

Miscellaneous:
- The reviewer has been a customer at this branch for 15 years"
10,Frost Bank,"4301 W William Cannon Dr Building I, Austin, TX 78749",Austin,"I love this location. Everyone here is focused on customer satisfaction and transaction execution. NOTE: This branch very busy most of the time, but everyone still has a nice smile and they get their job done.Worst customer service ever from a manager. Lida who claims 16years of working here is the worst example of a customer service banker I have ever come into contact with. She doesn’t belong at Frost Bank.Always a great experience.  A great bank! I'm a loyal customer since 1998.","Positives:
- Focus on customer satisfaction
- Efficient transaction execution
- Friendly and smiling staff
- Good customer service from majority of employees
- Consistently positive experiences
- Loyal customer base

Room for Improvement:
- Manager's customer service skills
- Employee named Lida has poor customer service skills

Miscellaneous:
- Location is often busy but still maintains good service"
